10367648:9	NM_032973	chrY	+	4984130	5670269	4984864	5665983	5	4984130,5026255,5429097,5509815,5665312,	4985500,5028748,5429296,5509839,5670269,	0	PCDH11Y	cmpl	cmpl	0,0,0,1,1,
10367814:10	NM_001164471	chrY	+	9296075	9917358	9296075	9917170	7	9296075,9914828,9915702,9915908,9916121,9916373,9917147,	9296312,9915095,9915780,9916020,9916267,9916455,9917358,	0	TSPY4	cmpl	cmpl	0,0,0,0,1,0,1,
10368018:11	NM_004676	chrY	+	23045931	23070172	23057099	23069605	5	23045931,23046120,23057047,23059743,23069346,	23046019,23046207,23057168,23059859,23070172,	0	PRY	cmpl	cmpl	-1,-1,0,0,2,
10368197:11	NM_001002758	chrY	+	23045931	23070172	23057099	23069605	5	23045931,23046120,23057047,23059743,23069346,	23046019,23046207,23057168,23059859,23070172,	0	PRY2	cmpl	cmpl	-1,-1,0,0,2,
10368380:15	NR_033714	chrY	+	57623336	57685827	57685827	57685827	7	57623336,57631514,57640169,57642554,57661870,57681758,57683940,	57623505,57631669,57640307,57642645,57661938,57681851,57685827,	0	VAMP7	unk	unk	-1,-1,-1,-1,-1,-1,-1,
10368604:15	NM_005638	chrY	+	57623336	57685827	57631523	57684009	8	57623336,57631514,57637679,57640169,57642554,57661870,57681758,57683940,	57623505,57631669,57637737,57640307,57642645,57661938,57681851,57685827,	0	VAMP7	cmpl	cmpl	-1,0,2,0,0,1,0,0,
10368844:15	NM_001185183	chrY	+	57623336	57685827	57631523	57684197	7	57623336,57631514,57637679,57640169,57642554,57681758,57683940,	57623505,57631669,57637737,57640307,57642645,57681851,57685827,	0	VAMP7	cmpl	cmpl	-1,0,2,0,0,1,1,
10369067:15	NM_001145149	chrY	+	57623336	57685827	57631523	57684009	7	57623336,57631514,57640169,57642554,57661870,57681758,57683940,	57623505,57631604,57640307,57642645,57661938,57681851,57685827,	0	VAMP7	cmpl	cmpl	-1,0,0,0,1,0,0,
10369290:15	NR_033715	chrY	+	57623336	57685827	57685827	57685827	8	57623336,57631514,57637679,57640169,57642554,57661870,57681758,57683940,	57623505,57631604,57637737,57640307,57642645,57661938,57681851,57685827,	0	VAMP7	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,
10369535:73	NM_000451	chrY	+	505078	527558	511632	525371	6	505078,511200,515352,521555,521733,525125,	505337,511909,515561,521613,521822,527558,	0	SHOX	cmpl	cmpl	-1,0,1,0,1,0,
10369702:73	NM_006883	chrY	+	505078	540146	511632	539564	6	505078,511200,515352,521555,521733,539519,	505337,511909,515561,521613,521822,540146,	0	SHOX	cmpl	cmpl	-1,0,1,0,1,0,
10369869:73	NM_013239	chrY	-	214667	267690	215101	267426	13	214667,219338,219512,221499,222041,222617,226250,226908,227435,227968,228324,242139,267102,	215252,219445,219631,221675,222131,222666,226407,226995,227510,228071,228428,242325,267690,	0	PPP2R3B	cmpl	cmpl	2,0,1,2,2,1,0,0,0,2,0,0,0,
